Title Description,Standard Hours,Maximum Salary Rate
EXECUTIVE ASSISTANT-MIDTOWN EN,35.0,0.0
SPECIAL ADVISOR TO CITY CLERK,35.0,59698.0
SECRETARY (OFFICE OF BORO PRES,35.0,18000.0
ASST PROJECT PLANNER (OFFICE O,35.0,67000.0
PROJECT PLANNER (OFFICE OF BOR,35.0,31000.0
CONFIDENTIAL ASSISTANT TO BORO,35.0,244820.0
RECREATION SPECIALIST (DEPT OF,35.0,24.17
BUDGET ANALYST (OMB),35.0,81937.0
BUDGET ANALYST (OMB),35.0,105006.0
BUDGET ANALYST (OMB)-MANAGERIA,35.0,244820.0
DIRECTOR OF CRISIS ASSISTANCE,35.0,244820.0
ASSISTANT LEGISLATIVE REPRESEN,35.0,244820.0
CHAUFFEUR-ATTENDANT (BORO PRES,35.0,89999.0
PUBLIC RELATIONS OFFICER (BORO,35.0,244820.0
SUPERVISOR OF NURSES (BOARD OF,35.0,49017.0
SUPERVISOR OF NURSES (BOARD OF,37.5,73802.0
ASSISTANT ADMINISTRATOR (OFFIC,35.0,38644.0
DIRECTOR OF NEIGHBORHOOD PARK,35.0,244820.0
DEPUTY DIRECTOR OF PROBATION (,35.0,244820.0
SECRETARY TO THE EXECUTIVE DIR,35.0,87086.0
OCCUPATIONAL THERAPIST (BOE),32.0,59563.0
OCCUPATIONAL THERAPIST (BOE),35.0,36164.0
SENIOR OCCUPATIONAL THERAPIST,32.0,64403.0
SENIOR OCCUPATIONAL THERAPIST,35.0,41403.0
PHYSICAL THERAPIST (BOE),32.0,59563.0
PHYSICAL THERAPIST (BOE),35.0,36164.0
SENIOR PHYSICAL THERAPIST (BOE,32.0,64403.0
SENIOR PHYSICAL THERAPIST (BOE,35.0,39153.0
ASSISTANT DIRECTOR OF ADMINIST,35.0,244820.0
CASE MANAGEMENT NURSE (DOC),35.0,78691.0
CASE MANAGEMENT NURSE (DOC),35.0,81653.0
EXECUTIVE ASSISTANT TO THE FIR,35.0,20000.0
DIRECTOR OF AUDITS (OFFICE OF,35.0,244820.0
INCINERATOR FACILITY MANAGER (,35.0,244820.0
INVESTIGATOR(DISCP)(ONLY FOR P,35.0,61847.0
INVESTIGATOR(DISCP)(ONLY FOR P,35.0,69914.0
INVESTIGATOR(DISCP)(ONLY FOR P,35.0,87206.0
DEPUTY ASSISTANT COUNSEL (OLR),35.0,90886.0
DEPUTY ASSISTANT COUNSEL (OLR),35.0,100780.0
DEPUTY ASSISTANT COUNSEL (OLR),35.0,110658.0
DEPUTY ASSISTANT COUNSEL (OLR),35.0,125582.0
STAFF ASSISTANT (OFFICE OF THE,35.0,89254.0
WORD PROCESSING SYSTEM MANAGER,35.0,244820.0
PROJECT DIRECTOR (DEPT OF PROB,35.0,244820.0
DIRECTOR OF ADMINISTRATION (LA,35.0,244820.0
DEPUTY DIRECTOR OF ADMINISTRAT,35.0,244820.0
MAYORAL OFFICE ASSISTANT,35.0,70567.0
EXECUTIVE DIRECTOR OF FOOD SER,35.0,244820.0
MAYORAL PROGRAM COORDINATOR (M,35.0,76986.0
FIELD INVESTIGATION SPECIALIST,35.0,61738.0
FIELD INVESTIGATION SPECIALIST,35.0,69782.0
FIELD INVESTIGATION SPECIALIST,35.0,87037.0
SECRETARY TO PUBLIC ADMINISTRA,35.0,44399.0
SPECIAL ASSISTANT TO THE BOROU,35.0,244820.0
HIGH SCHOOL STUDENT AIDE (MAYO,35.0,7.25
DEPUTY COMMISSIONER (CDCSA),35.0,244820.0
DEP DIR OF AUDIT & PROG ANALYS,35.0,137387.0
DEPUTY DIRECTOR OF EQUAL OPPOR,35.0,137387.0
DEPUTY DIRECTOR OF METHODS & A,35.0,137387.0
EXECUTIVE ASSISTANT TO THE COM,35.0,47000.0
SECRETARY OF COMMISSIONER (CDC,35.0,91196.0
DIRECTOR OF ECONOMIC DEVELOPME,35.0,244820.0
DEPUTY EXECUTIVE DIRECTOR CAMP,35.0,244820.0
DEPUTY DIRECTOR OF ADMIN WORKE,35.0,244820.0
SECRETARY TO THE EXECUTIVE DIR,35.0,80115.0
DIRECTOR OF PUBLIC RELATIONS (,35.0,244820.0
DEPUTY COMMISSIONER FOR LAW EN,35.0,244820.0
DEP COMMISSIONER FOR COMMUNITY,35.0,244820.0
ASSISTANT CORPORATION COUNSEL,35.0,200000.0
DIRECTOR (DEFERRED COMPENSATIO,35.0,244820.0
EXECUTIVE DIRECTOR (ISP - PROB,35.0,244820.0
ASSISTANT TO THE MAYOR,35.0,244820.0
CHAUFFER ATTENDANT (SANTITATIO,35.0,43860.0
SENIOR STUDENT LEGAL SPECIALIS,35.0,58368.0
SECRETARY OF COMMISSIONER (DEP,35.0,91196.0
CONFIDENTIAL INVESTIGATOR (CON,35.0,62809.0
CONFIDENTIAL INVESTIGATOR (CON,35.0,71010.0
CONFIDENTIAL INVESTIGATOR (CON,35.0,88564.0
SPECIAL COMMISSIONER OF INVEST,35.0,150148.0
ASST DIRECTOR OF INTERGOVERMEN,35.0,244820.0
ASSISTANT TO THE PUBLIC ADMINI,35.0,40000.0
CHAUFFEUR-ATTENDANT (BOARD OF,40.0,35770.0
SECRETARY TO THE DIRECTOR OF P,35.0,91196.0
MEDICOLEGAL ANALYST (LAW DEPT),35.0,81801.0
MEDICOLEGAL ANALYST (LAW DEPT),35.0,87189.0
FOOD SERVICE ADMINISTRATOR (DC,35.0,80216.0
PEER COUNSELOR (HIGH SCHOOL -,35.0,12330.0
ASSISTANT RACKETS INVESTIGATOR,40.0,113500.0
ANALYST(CFB)AL,35.0,58382.0
SYSTEMS ADMINISTRATOR-CAM FIN,35.0,58345.0
SYSTEMS ADMINISTRATOR-CAM FIN,35.0,83801.0
SYSTEMS ADMINISTRATOR-CAM FIN,35.0,109875.0
ADMIN ASST-CAMPAIGN FIN BOARD,35.0,54755.0
ADMIN ASST-CAMPAIGN FIN BOARD,35.0,71134.0
ATTORNEY-CAMPAIGN FIN BOARD,35.0,95667.0
ATTORNEY-CAMPAIGN FIN BOARD,35.0,143784.0
ANALYST(CFB),35.0,79863.0
ANALYST(CFB),35.0,108465.0
NURSE PRACTITIONER(DEPT HEALTH,35.0,97593.0
NURSE PRACTITIONER(DEPT HEALTH,35.0,101368.0
NURSE PRACTITIONER(DEPT HEALTH,35.0,107991.0
SECRETARY TO THE SPECIAL COMMI,35.0,80000.0
SECRETARY TO THE CHAIRPERSON (,35.0,85556.0
SECRETARY TO THE FIRST DEPUTY,35.0,80508.0
SPECIAL EXAMINER (PHYSICAL TES,35.0,99.0
SPECIAL ADMINISTRATOR (PHYSICA,35.0,0.0
POISON INFORMATION SPECIALIST(,37.5,86525.0
POISON INFORMATION SPECIALIST(,37.5,91824.0
POISON INFORMATION SPECIALIST(,37.5,100654.0
POISON INFORMATION SPECIALIST(,37.5,104185.0
PLAYGROUND ASSOCIATE,35.0,26.87
DECEDENT PROPERTY AGENT(QUEENS,35.0,61936.0
CHAUFFER-ATTENDANT (DCAS),40.0,26529.0
SPECIAL EXAMINER (DCAS),35.0,1000.0
CHIEF INVESTIGATOR (CCRB),35.0,244820.0
DIRECTOR OF ALTERNATIVE DISPUT,35.0,244820.0
DIRECTOR OF INTERGOVERNMENTAL,35.0,244820.0
HEARING OFFICER (PVB - NOT EMP,1.0,54.93
EXECUTIVE DIRECTOR (POLICE COM,35.0,244820.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,62809.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,71010.0
INVESTIGATOR (EMPLOYEE DISCIPL,35.0,88564.0
SPECIAL ASSISTANT (OFFICE OF T,35.0,78360.03
Special Assistant (MA)-MGRL,35.0,244820.0
CHIEF OF STAFF (OFFICE OF THE,35.0,244820.0
DEPUTY EXECUTIVE DIRECTOR (POL,35.0,244820.0
SECRETARY TO THE COMMISSIONER,35.0,91196.0
SECRETARY TO THE DEPUTY COMMIS,35.0,78714.0
ADMINISTRATOR OF MEDICAL AFFAI,35.0,244820.0
DEPUTY COMMISSIONER (DDC),35.0,244820.0
DEPUTY COMMISSIONER FOR POLICY,35.0,244820.0
ASSISTANT BUDGET ANALYST (COMP,35.0,81937.0
BUDGET ANALYST (COMPTROLLER),35.0,108898.0
ASSISTANT BUDGET ANALYST (IBO),35.0,81937.0
BUDGET ANALYST (IBO),35.0,108898.0
SENIOR ACCOUNTANT INVESTIGATOR,35.0,79805.0
SUPERVISING ACCOUNTANT INVESTI,35.0,99411.0
BUDGET ANALYST (IBO) ((MANAGER,35.0,244820.0
SECRETARY TO THE FIRST ASSISTA,35.0,84316.0
DEPUTY CHIEF RACKETS INVESTIGA,35.0,244820.0
SECRETARY TO THE FIRST DEPUTY,35.0,78462.0
EXECUTIVE DIRECTOR NYC POLICE,35.0,244820.0
DEPUTY CITY CLERK (STATEN ISLA,35.0,244820.0
EXECUTIVE DEPUTY COMMISSIONER,35.0,244820.0
DEPUTY EXECUTIVE DIRECTOR,35.0,244820.0
SCHOOL BUSINESS MANAGER,35.0,63262.0
SCHOOL BUSINESS MANAGER,35.0,77957.0
SECRETARY TO THE COMMISSIONER,35.0,84279.0
NYCAPS PROCESS ANALYST,35.0,101263.0
NYCAPS PROCESS ANALYST,35.0,133242.0
MARINE ELECTRONICS TECHNICIAN,40.0,124343.0
FIRST DEPUTY COMMISSIONER (BIC,35.0,244820.0
DEPUTY COMMISSIONER (BIC),35.0,244820.0
NYCAPS Process Analyst (DCAS C,35.0,105001.0
NYCAPS Process Analyst (DCAS C,35.0,145068.0
NYCAPS PROCESS ANALYST MANAGER,35.0,244820.0
FIRST DEPUTY COMMISSIONER (OEM,35.0,244820.0
DEPUTY COMMISSIONER (OEM),35.0,244820.0
EMERGENCY PREPAREDNESS MANAGER,35.0,244820.0
EMERGENCY PREPAREDNESS SPECIAL,35.0,80134.0
EMERGENCY PREPAREDNESS SPECIAL,35.0,110527.0
SECRETARY TO THE COMMISSIONER,35.0,86820.0
SECRETARY TO THE CHIEF ACTUARY,35.0,86820.0
PROTECTION AGENT (ACS),40.0,86517.0
PROTECTION AGENT (ACS),40.0,89235.0
PORT MARINE ENGINEER,35.0,112722.0
FAMILY PUB HEALTH NURSE (HMH),35.0,86194.0
ASSOCIATE EXECUTIVE DIRECTOR (,35.0,244820.0
EXECUTIVE DIRECTOR OF MATERIAL,35.0,244820.0
EXECUTIVE ASST-DOMESTIC VIOLEN,35.0,80953.0
DIRECTOR URBAN ARCHAEOLOGY - L,35.0,244820.0
SCHOOL COMPUTER TECHNOLOGY SPE,35.0,47955.0
SCHOOL COMPUTER TECHNOLOGY SPE,35.0,59548.0
SCHOOL COMPUTER TECHNOLOGY SPE,35.0,82776.0
SPEC ASSISTANT TO DA(BRONX DA),35.0,212614.0
SECRETARY TO THE DEPUTY CHAIR,35.0,86472.0
CONFIDENTIAL AGENCY INVESTIGAT,35.0,244820.0
INVESTMENT TRUSTEE - DEFERRED,1.0,1.0
IT SECURITY SPECIALIST,35.0,180000.0
PUBLIC HEALTH/PREVENTIVE MEDIC,35.0,87483.0
PUBLIC HEALTH/PREVENTIVE MEDIC,35.0,92733.0
EXECUTIVE DIRECTOR (FDNY PENSI,35.0,244820.0
DEPUTY EXECUTIVE DIRECTOR (FDN,35.0,244820.0
EXECUTIVE PROGRAM SPECIALIST (,35.0,244820.0
CHAPLAIN (ACS),35.0,67524.0
DEPUTY DIRECTOR OF MEDICOLEGAL,35.0,244820.0
CHIEF OF STAFF - MAYOR'S OFFIC,35.0,244820.0
PUBLIC HEALTH/PREVENTIVE MEDIC,35.0,91503.0
DIRECTOR OF IMMIGRANT AFFAIRS,35.0,244820.0
DIRECTOR OF OFFICE FOR PEOPLE,35.0,244820.0
COMMISSIONER OF DEPARTMENT OF,35.0,244820.0
COMMISS OF THE OFF TO END DOME,35.0,244820.0
CHIEF SERVICE OFFICER (MA),35.0,244820.0
SENIOR POLICY ADVISOR TO THE M,35.0,244820.0
DIRECTOR OF CRIMINAL JUSTICE (,35.0,244820.0
COMMUNICATIONS DIRECTOR (MA),35.0,244820.0
EXECUTIVE DIRECTOR ON COMMISSI,35.0,244820.0
SENIOR ADVISOR TO THE MAYOR (M,35.0,244820.0
DECEDENT PROPERTY AGENT (PANYC,35.0,61936.0
ASSISTANT COMMISSIONER (CULTUR,35.0,244820.0
ASSISTANT COMMISSIONER (DOITT),35.0,244820.0
DIRECTOR FOR EQUAL EMPLOYEMENT,35.0,244820.0
Executive Program Specialist (,35.0,244820.0
Deputy Commissioner (CEC),35.0,244820.0
STRATEGIC INITIATIVE SPECIALIS,35.0,200000.0
SPECIAL ASSISTANT TO THE BOROU,35.0,244820.0
DEPUTY EXECUTIVE DIRECTOR OF B,35.0,196575.0
SPECIAL ASSISTANT TO THE BOROU,35.0,87396.0
SERVICE INSPECTOR (PROJECT SCO,35.0,49997.0
SERVICE INSPECTOR (PROJECT SCO,40.0,49997.0
SENIOR SERVICE INSPECTOR (PROJ,40.0,55203.0
DEPUTY DIRECTOR OF COMMUNITY P,35.0,73075.0
COMMUNITY SERVICE AIDE (SCSP),35.0,19.29
DEPUTY DIRECTOR (FINANCE),35.0,244820.0
SPECIAL ASSISTANT TO THE CHANC,35.0,113500.0
EXECUTIVE SECRETARY TO CITY CL,35.0,70743.0
COMMUNITY SERVICE AIDE (SENIOR,35.0,25125.0
RESEARCH & LIAISON COORDINATOR,35.0,125061.0
SECRETARY TO THE ASSISTANT TO,35.0,59800.0
"DIRECTOR, BOROUGH PRESIDENT OF",35.0,244820.0
"DEPUTY DIRECTOR, BOROUGH PRESI",35.0,107281.0
ASSISTANT TO THE PRESIDENT (BK,35.0,234738.0
EXECUTIVE ASSISTANT TO THE COM,35.0,244820.0
CASE MGMT NURSE (DOS),35.0,78691.0
OPERATIONS SUPPORT MANAGER,35.0,244820.0
DIRECTOR OF INCINERATOR OPERAT,35.0,244820.0
EXECUTIVE COOK (MAYOR),35.0,244820.0
ADMINISTRATIVE ACCOUNTANT,35.0,244820.0
ADMINISTRATIVE GRAPHIC ARTIST,35.0,244820.0
ADMINISTRATIVE ARCHITECT,35.0,244820.0
ADMINISTRATIVE ASSESSOR,35.0,244820.0
*ADMINISTRATIVE ATTORNEY,35.0,244820.0
ADMINISTRATIVE BOROUGH SUPERIN,35.0,244820.0
ADMINISTRATIVE BUSINESS PROMOT,35.0,244820.0
ADMIN ARCHITECT (NON MGRL) M-1,35.0,141865.0
ADMINISTRATIVE ACCOUNTANT (NON,35.0,168433.0
ADMINISTRATIVE BUSINESS PROMOT,35.0,186555.0
ADMINISTRATIVE GRAPHIC ARTIST,35.0,168433.0
ADMINISTRATIVE MANAGEMENT AUDI,35.0,244820.0
ADMINISTRATIVE CONSULTANT (EAR,35.0,244820.0
ADMINISTRATIVE ENGINEER,35.0,244820.0
ADMINISTRATIVE DIRECTOR OF RES,35.0,244820.0
ADMINISTRATIVE DEMOLITION INSP,35.0,244820.0
ADMINISTRATIVE HOUSING MANAGER,35.0,196574.0
ADMINISTRATIVE HOUSING SUPERIN,35.0,196574.0
ADM ENGINEER (NON MGRL),35.0,141865.0
ADMINISTRATIVE DIRECTOR OF RES,35.0,186555.0
ADMINISTRATIVE MANAGEMENT AUDI,35.0,168433.0
ADMINISTRATIVE INVESTIGATOR,35.0,244820.0
ADMINISTRATIVE COMMUNITY RELAT,35.0,244820.0
ADMINISTRATIVE LANDSCAPE ARCHI,35.0,244820.0
ADMINISTRATIVE FIRE PROTECTION,35.0,244820.0
ADMINISTRATIVE MANAGER,35.0,244820.0
ADMINISTRATIVE STAFF ANALYST (,35.0,244820.0
*ADM DIR FLEET MAINTENANCE-NM,40.0,160689.0
ADMINISTRATIVE NUTRITIONIST,35.0,244820.0
ADMINISTRATIVE PROBATION OFFIC,35.0,244820.0
ADMINISTRATIVE STAFF ANALYST (,35.0,97873.0
*ADM DIR FLT MAINT-MGRL ASGMT,35.0,244820.0
ADM MANAGER-NON-MGRL FRM M1/M2,35.0,150371.0
ADMINISTRATIVE STAFF ANALYST (,35.0,161497.0
ADMINISTRATIVE STAFF ANALYST (,35.0,178873.0
ADMIN COMMUNITY RELATIONS SPEC,35.0,144268.0
ADM LANDSCAPE ARCHITECT (NM),35.0,141865.0
ADMINISTRATIVE FIRE PROTECTION,35.0,186555.0
ADMINISTRATIVE INVESTIGATOR (N,35.0,168433.0
ADMINISTRATIVE EDUCATION ANALY,35.0,234738.0
ADMINISTRATIVE PUBLIC HEALTH N,35.0,244820.0
ADMINISTRATIVE PUBLIC INFORMAT,35.0,244820.0
ADMINISTRATIVE LANDMARKS PRESE,35.0,244820.0
ADMINISTRATIVE SUPERVISOR OF B,35.0,244820.0
ADMINISTRATIVE SPACE ANALYST,35.0,244820.0
ADMINISTRATIVE STOREKEEPER,35.0,244820.0
ADMINISTRATIVE SUPERINTENDENT,35.0,244820.0
ADM LNDMRK PRESERVATIONIST NM,35.0,141865.0
ADMINISTRATIVE EDUCATION ANALY,35.0,136902.0
ADMINISTRATIVE PUBLIC HEALTH N,35.0,168433.0
ADMINISTRATIVE SPACE ANALYST (,35.0,168433.0
ADMINISTRATIVE PUBLIC RECORDS,35.0,244820.0
ADMINISTRATIVE TRAFFIC ENFORCE,37.5,77494.0
ADMINISTRATIVE CLAIM EXAMINER,35.0,244820.0
ADMINISTRATIVE SUPERVISOR OF S,35.0,196574.0
ADMINISTRATIVE REAL PROPERTY M,35.0,244820.0
ADMINISTRATIVE TAX AUDITOR,35.0,244820.0
ADM TRAFFIC ENFRCMNT AGENT-DIR,35.0,244820.0
ADMIN TRAFFIC ENFRCMNT AGENT (,35.0,244820.0
ADMINISTRATIVE TAX AUDITOR (NO,35.0,168433.0
ADMINISTRATIVE REAL PROPERTY M,35.0,168433.0
ADMINISTRATIVE CLAIM EXAMINER,35.0,168433.0
COMPUTER SYSTEMS MANAGER,35.0,244820.0
ADMINISTRATIVE CITY PLANNER,35.0,244820.0
ADMINISTRATIVE BLASTING INSPEC,35.0,244820.0
ADMINISTRATIVE DIRECTOR OF LAB,35.0,244820.0
ADMINISTRATIVE DIRECTOR OF SOC,35.0,244820.0
ADM CITY PLANNER (NON MGRL),35.0,141865.0
ADMIN DIR OF LABORATORY (WATER,35.0,144413.0
ADMINISTRATIVE DIRECTOR OF SOC,35.0,186555.0
ADMINISTRATIVE TRANSPORTATION,35.0,244820.0
ADMINISTRATIVE EDUCATION OFFIC,35.0,234738.0
ADMINISTRATIVE TESTS & MEASURE,35.0,139904.0
ADMINISTRATIVE SCHOOL FOOD SER,35.0,234738.0
HEALTH SERVICES MANAGER,35.0,244820.0
ADMIN TESTS & MEAS SPEC (MGRL),35.0,244820.0
ADMINISTRATIVE EDUCATION OFFI,35.0,136902.0
HEALTH SERVICES MANAGER NON MA,35.0,156829.0
HEALTH SERVICES MANAGER NON MA,35.0,168433.0
ADMINISTRATIVE HORTICULTURIST,35.0,244820.0
ADMINISTRATIVE PARKS & RECREAT,35.0,244820.0
ADMINISTRATIVE INSPECTOR (BUIL,35.0,244820.0
COMPUTER OPERATIONS MANAGER (S,35.0,244820.0
SUPERVISOR OF ELEVATOR MAINTEN,35.0,196574.0
ADMINISTRATIVE INSPECTOR (ELEC,35.0,244820.0
ADMINISTRATIVE INSPECTOR (HOUS,35.0,244820.0
ADMINISTRATIIVE TAXI & LIMOUSI,35.0,244820.0
ADM INSPECTOR (BUILDINGS) NM,35.0,141865.0
ADMIN INSPECTOR (ELECTRICAL)NM,35.0,126050.0
ADMINISTRATIVE HORTICULTURIST,35.0,168433.0
ADMINISTRATIVE PARKS & RECREA,35.0,168433.0
ADMINISTRATIVE QUALITY ASSURAN,35.0,244820.0
SUPERINTENDENT OF WATER AND SE,35.0,244820.0
*ADMINISTRATIVE SCHOOLSECURITY,37.5,77878.0
ADMINISTRATIVE  PROGRAM OFFICE,35.0,244820.0
DIRECTOR OF TECHNICAL SERVICES,35.0,244820.0
*ADMINSTRATIVE SCHOOL SECURITY,35.0,244820.0
ADMINISTRATIVE QUALITY ASSURAN,35.0,147388.0
ADMIN CONTRACT SPECIALIST (PYR,35.0,244820.0
ADMINISTRATIVE PRINTING SERVIC,35.0,244820.0
ADMINISTRATIVE CONTRACT SPECIA,35.0,186555.0
STUDENT AIDE,35.0,8678.25
COLLEGE ASSISTANT (NO LEAVE AC,35.0,21140.0
EXECUTIVE ASSISTANT,35.0,42789.0
ELIGIBILITY SPECIALIST,35.0,53619.0
ELIGIBILITY SPECIALIST,35.0,55382.0
ELIGIBILITY SPECIALIST,35.0,57660.0
OFFICE ASSISTANT,35.0,39868.0
OFFICE ASSISTANT,40.0,39868.0
COOPERATIVE EDUCATIONAL TRAINE,35.0,15.85
LEGISLATIVE CLERICAL ASSISTANT,35.0,244820.0
CHIEF OFFICE ASSISTANT,35.0,53619.0
CHIEF OFFICE ASSISTANT,40.0,53619.0
COOPERATIVE EDUCATION TRAINEE,35.0,15.85
PRINCIPAL ADMINISTRATIVE ASSOC,35.0,64662.0
PRINCIPAL ADMINISTRATIVE ASSOC,35.0,71794.0
PRINCIPAL ADMINISTRATIVE ASSOC,35.0,83500.0
ADMINISTRATIVE CHIEF,35.0,93000.0
ADMINISTRATIVE CHIEF,35.0,113500.0
DEPUTY DIRECTOR OF ADMINISTRAT,35.0,244820.0
"DIRECTOR,CITYWIDE OCCUPATIONAL",35.0,244820.0
CHIEF CLERK,35.0,153151.0
DEPUTY PUBLIC ADMINISTATOR,35.0,113500.0
PRECINCT RECEPTIONIST (PER HOU,35.0,16.72
DECEDENT PROPERTY AGENT,35.0,61936.0
POLICE ADMINISTRATIVE AIDE,35.0,53619.0
ADMINISTRATIVE ASSISTANT TO TH,35.0,244820.0
SENIOR POLICE ADMINISTRATIVE A,35.0,55430.0
Director of Admin (DSS only),35.0,244820.0
DEPUTY EXECUTIVE DIRECTOR (HA),35.0,196574.0
DEPUTY DIRECTOR OF COUNCIL SER,35.0,244820.0
DIRECTOR OF COUNCIL SERVICES B,35.0,244820.0
EXECUTIVE DIRECTOR OF STANDARD,35.0,244820.0
EXECUTIVE DIRECTOR,35.0,244820.0
ASSISTANT EXECUTIVE DIRECTOR (,35.0,196574.0
EXECUTIVE DIRECTOR (TEACHERS R,35.0,244820.0
EXECUTIVE DIRECTOR (PERSONNEL),35.0,113500.0
EXECUTIVE DIRECTOR (BOE RETIRE,35.0,113500.0
EXECUTIVE DIRECTOR (LABOR RELA,35.0,113500.0
DEPUTY EXECUTIVE DIRECTOR (TEA,35.0,244820.0
ASSISTANT EXECUTIVE DIRECTOR (,35.0,244820.0
EXECUTIVE DIRECTOR (NYC EMPLOY,35.0,244820.0
DEPUTY EXECUTIVE DIRECTOR (NYC,35.0,244820.0
EXECUTIVE DIRECTOR (CITY PLANN,35.0,244820.0
DEPUTY ASSISTANT DIRECTOR (CIV,35.0,244820.0
EXECUTIVE DIRECTOR (CIVILIAN C,35.0,244820.0
DEPUTY EXECUTIVE DIRECTOR (CIT,35.0,244820.0
DISTRICT MANAGER OF ADMINISTRA,35.0,58073.0
COOPERATIVE EDUCATION TRAINEE-,35.0,15.85
PRIVATE SECRETARY,35.0,136198.0
SECRETARY TO DISTRICT ATTORNEY,35.0,91405.0
CONFIDENTIAL SECRETARY,35.0,53619.0
CONFIDENTIAL SECRETARY,40.0,53619.0
NEW YORK CITY URBAN FELLOW,35.0,30000.0
COLLEGE AIDE (ALL CITY DEPTS),35.0,19.9
COLLEGE AIDE-DCAS MINUTE TO MI,1.0,12.96
COLLEGE AIDE-DCAS MINUTE TO MI,1.0,17.47
COLLEGE AIDE-DCAS MINUTE TO MI,1.0,18.03
COLLEGE AIDE - ASSIGNMENT LEVE,35.0,20.12
COLLEGE AIDE - ASSIGNMENT LEVE,35.0,20.76
REPORTER/STENOGRAPHER,35.0,64284.0
REPORTER/STENOGRAPHER,35.0,81547.0
REPORTER/STENOGRAPHER,35.0,76002.0
REPORTER/STENOGRAPHER,40.0,64284.0
REPORTER/STENOGRAPHER,40.0,81547.0
REPORTER/STENOGRAPHER,40.0,76002.0
DEPUTY EXECUTIVE DIRECTOR (CIV,35.0,244820.0
SECRETARY,35.0,47515.0
SECRETARY,40.0,47515.0
